MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	Liander N.V. (NW)	De Ruyterkade Steigers	1011	1011	ELK	KVB	32	100	50	28	3x25	16049	37,5	18,75	1,3	CENTRUM
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	34	100	64,71	32	3x25	12300	26,47	17,65	1	CENTRUM
Liander N.V.	GAS Liander	De Ruyterkade	1011	1011	GAS	KVB	22	100	72,73	41	G4	4329	0	22,73		CENTRUM
Liander N.V.	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	11	100	45,45	82	G4	1082	0	9,09		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011	1011	ELK	KVB	19	100	5,26	58	3x25	3858	47,37	0	1,5	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011	1011	ELK	KVB	19	100	36,84	68	3x25	2739	31,58	5,26	1	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100	91,67	50	3x25	20770	58,33	25	1,6	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100	100	96	G4	2137	0	14,81		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100	100	67	1x25	3412	14,29	0	1,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	19	100	89,47	37	1x35	8579	26,32	26,32	1	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	15	100	93,33	73	G4	1793	0	33,33		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	14	100	71,43	50	3x25	8070	28,57	14,29	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Houtkopersdwarsstraat	1011	1011	ELK	KVB	15	100	86,67	40	3x25	5543	66,67	53,33	1,4	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	28	100	96,43	86	G4	2088	0	53,57		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	28	100	92,86	36	1x35	2540	46,43	35,71	1,3	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	20	100	70	50	1x35	5983	55	45	1	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	19	100	73,68	89	G4	3092	0	47,37		CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	19	100	100	63	G4	2259	0	26,32		CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	32	100	90,63	34	3x25	7786	31,25	15,63	1,7	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100	83,33	50	3x25	4188	50	33,33	1,3	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	20	100	100	65	G4	4591	0	40		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	11	100	100	55	3x25	8056	36,36	0	1,4	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	18	100	83,33	44	3x25	6988	55,56	44,44	1,3	CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100	95,24	38	1x35	2678	23,81	4,76	1,4	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	13	100	100	92	G4	1256	0	7,69		CENTRUM
Liander N.V.	Liander N.V. (NW)	Buiten Bantammerstraat	1011	1011	ELK	KVB	16	100	87,5	56	3x25	3992	62,5	68,75	1	CENTRUM
	GAS Liander	Buiten Bantammerstraat	1011	1011	GAS	KVB	14	100	92,86	93	G4	2208	0	71,43		CENTRUM
	Liander N.V. (NW)	Schippersstraat	1011	1011	ELK	KVB	30	100	76,67	50	3x25	3247	93,33	73,33	2	CENTRUM
	GAS Liander	Schippersstraat	1011	1011	GAS	KVB	30	100	73,33	93	G4	1630	0	66,67		CENTRUM
Liander N.V.	GAS Liander	Schippersstraat	1011	1011	GAS	KVB	15	100	40	87	G4	1061	0	33,33		CENTRUM
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011	1011	ELK	KVB	19	94,74	36,84	63	3x25	2242	57,89	31,58	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011	1011	ELK	KVB	24	100	95,83	63	1x35	4764	50	37,5	1,4	CENTRUM
Liander N.V.	GAS Liander	Schippersstraat	1011	1011	GAS	KVB	22	100	95,45	91	G4	2335	0	40,91		CENTRUM
Liander N.V.	Liander N.V. (NW)	Kalkmarkt	1011	1011	ELK	KVB	30	93,33	80	73	3x25	3720	43,33	46,67	1,3	CENTRUM
	GAS Liander	Kalkmarkt	1011	1011	GAS	KVB	20	100	100	90	G4	2103	0	65		CENTRUM
	GAS Liander	Binnenkant AB	1011	1011	GAS	KVB	15	100	93,33	87	G4	2145	0	6,67		CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant AB	1011	1011	ELK	KVB	26	100	76,92	73	3x25	2221	15,38	3,85	1,4	CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	33	100	93,94	55	3x25	3514	21,21	12,12	1,2	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	29	100	93,1	83	G4	1862	0	13,79		CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	16	100	100	69	G4	3194	0	12,5		CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	22	100	90,91	45	1x35	5540	22,73	4,55	1,8	CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	16	100	100	81	1x35	2375	6,25	6,25	1,1	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	14	100	92,86	86	G4	1602	0	7,14		CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	20	100	100	85	G4	1315	0	10		CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	23	100	95,65	87	1x35	2068	13,04	13,04	1,3	CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	21	100	71,43	71	3x25	3174	4,76	9,52	1,3	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	15	100	86,67	73	G4	1583	0	13,33		CENTRUM
Liander N.V.	GAS Liander	Binnenkant	1011	1011	GAS	KVB	14	100	92,86	86	G4	2581	0	0		CENTRUM
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	17	100	88,24	76	3x25	2492	5,88	0	1,5	CENTRUM
	Liander N.V. (NW)	Binnenkant	1011	1011	ELK	KVB	15	100	100	67	1x35	1691	26,67	13,33	1,5	CENTRUM
	GAS Liander	Binnenkant	1011	1011	GAS	KVB	11	100	100	100	G4	1644	0	9,09		CENTRUM
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	29	100	79,31	66	3x25	3102	51,72	44,83	1,2	CENTRUM
Liander N.V.	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	28	100	75	71	G4	2480	0	46,43		CENTRUM
Liander N.V.	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	27	100	96,3	89	G4	1554	0	44,44		CENTRUM
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	31	96,77	93,55	52	3x25	2414	48,39	45,16	1,1	CENTRUM
	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	23	100	65,22	65	3x25	2736	47,83	47,83	1	CENTRUM
	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	21	100	66,67	67	G4	1800	0	52,38		CENTRUM
	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	33	100	96,97	64	1x25	2659	72,73	72,73	1,1	CENTRUM
