"Aardgas en elektriciteit, gemiddelde prijzen van eindverbruikers "
"Belastingen: Exclusief  btw en belastingen"
"";"";"Onderwerp"
"";"";"||20 tot 200 GJ";"|||1 tot 10 TJ";"||10 tot 100 TJ";"||||2,5 tot 5 MWh";"|||500 tot 2 000 MWh";"||150 000 MWh en meer"
"Perioden";"Prijscomponenten";"euro per GJ";"euro per GJ";"euro per GJ";"euro per kWh";"euro per kWh";"euro per kWh"
"2011 1e kwartaal";"Transactieprijs";"10,353";"9,058";"7,219";"0,125";"0,083";"0,059"
"2012 1e kwartaal";"Transactieprijs";"11,706";"9,923";"7,770";"0,128";"0,080";"0,056"
"2013 1e kwartaal";"Transactieprijs";"12,068";"10,171";"8,324";"0,127";"0,077";"0,072"
"2014 1e kwartaal";"Transactieprijs";"11,635";"10,316";"8,339";"0,128";"0,076";"0,065"
"2015 1e kwartaal";"Transactieprijs";"10,949";"9,522";"7,585";"0,121";"0,072";"0,066"
"2016 1e kwartaal";"Transactieprijs";"9,654";"8,403";"6,261";"0,115";"0,065";"0,057"
"2017 1e kwartaal";"Transactieprijs";"9,016";"7,744";"5,920";"0,109";"0,061";"0,054"
"2017 3e kwartaal";"Transactieprijs";"22,781";"8,212";"6,093";"0,123";"0,062";"0,052"
"Bron: CBS"
