gb/std	oppervlakte in ha	oppervlakte in ha land	bevolking	bevolkingsdichtheid per km2 land	woningen	woningdichtheid per km2 land	gemiddelde woningbezetting
DX01 Centrum-West	346.32	273.46	43228	15808	28646	10475	1.51
DX02 Centrum-Oost	458.03	355.14	43194	12163	25380	7146	1,70
A Centrum	804.35	628.6	86422	13748	54026	8595	1,60
DX03 Westerpark	385.48	304.72	36000	11814	21360	7010	1.69
DX04 Bos en Lommer	344.8	328.94	34864	10599	17597	5350	1.98
DX05 Oud-West/De Baarsjes	332.71	309.41	72978	23586	39508	12769	1.85
E West	1062.99	943.08	143842	15252	78465	8320	1.83
DX06 Geuzenveld/Slotermeer	1535.72	1400.35	45124	3222	19105	1364	2.36
DX07 Osdorp	917.47	851.65	38989	4578	17523	2058	2.23
DX08 De Aker/Nieuw Sloten	758.45	613.45	28439	4636	11021	1797	2.58
DX09 Slotervaart	589.91	521.9	39125	7497	17189	3294	2.28
F Nieuw-West	3801.55	3387.35	151677	4478	64838	1914	2.34
DX10 Oud-Zuid	540.34	491.68	54566	11098	28576	5812	1.91
DX11 Buitenveldert/Zuidas	785.27	683.74	24951	3649	14285	2089	1.75
DX12 De Pijp/Rivierenbuurt	401.8	369.55	64915	17566	37175	10060	1.75
K Zuid	1727.4	1544.97	144432	9349	80036	5180	1,80
DX13 Oud-Oost	219.31	204.89	35503	17328	18890	9220	1.88
DX14 Indische Buurt/Oostelijk Havengebied	558.8	287.68	41578	14453	20433	7103	2.03
DX15 Watergraafsmeer	902.68	828.86	34311	4140	18374	2217	1.87
DX16 IJburg/Zeeburgereiland	1378.7	456.84	24375	5336	9733	2131	2,50
M Oost	3059.49	1778.27	135767	7635	67430	3792	2.01
DX17 Noord-West	834.76	702.68	37691	5364	15998	2277	2.36
DX18 Oud-Noord	900.33	651.97	27923	4283	13911	2134	2.01
DX19 Noord-Oost	4647.79	2821.38	29152	1033	12451	441	2.34
N Noord	6382.88	4176.03	94766	2269	42360	1014	2.24
DX20 Bijlmer-Centrum	843.17	790.7	25063	3170	12211	1544	2.05
DX21 Bijlmer-Oost	702.47	590.73	28491	4823	12671	2145	2.25
DX22 Gaasperdam/Driemond	665.73	619.13	34300	5540	15783	2549	2.17
T Zuidoost	2211.37	2000.56	87854	4391	40665	2033	2.16
ZX99 Westpoort	2899.16	2013.45	192	10	38	2	5.05
ASD Amsterdam	21949.18	16472.3	844952	5130	427858	2597	1.97
