gb/std	bevolking	woningen	gemiddelde woningbezetting
DX01 Centrum-West	43228	28646	1.51
DX02 Centrum-Oost	43194	25380	1,70
A Centrum	86422	54026	1,60
DX03 Westerpark	36000	21360	1.69
DX04 Bos en Lommer	34864	17597	1.98
DX05 Oud-West/De Baarsjes	72978	39508	1.85
E West	143842	78465	1.83
DX06 Geuzenveld/Slotermeer	45124	19105	2.36
DX07 Osdorp	38989	17523	2.23
DX08 De Aker/Nieuw Sloten	28439	11021	2.58
DX09 Slotervaart	39125	17189	2.28
F Nieuw-West	151677	64838	2.34
DX10 Oud-Zuid	54566	28576	1.91
DX11 Buitenveldert/Zuidas	24951	14285	1.75
DX12 De Pijp/Rivierenbuurt	64915	37175	1.75
K Zuid	144432	80036	1,80
DX13 Oud-Oost	35503	18890	1.88
DX14 Indische Buurt/Oostelijk Havengebied	41578	20433	2.03
DX15 Watergraafsmeer	34311	18374	1.87
DX16 IJburg/Zeeburgereiland	24375	9733	2,50
M Oost	135767	67430	2.01
DX17 Noord-West	37691	15998	2.36
DX18 Oud-Noord	27923	13911	2.01
DX19 Noord-Oost	29152	12451	2.34
N Noord	94766	42360	2.24
DX20 Bijlmer-Centrum	25063	12211	2.05
DX21 Bijlmer-Oost	28491	12671	2.25
DX22 Gaasperdam/Driemond	34300	15783	2.17
T Zuidoost	87854	40665	2.16
ZX99 Westpoort	192	38	5.05
ASD Amsterdam	844952	427858	1.97
