POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011AA	1011AB	ELK	100	13791	CENTRUM
1011AC	1011AC	ELK	100	11604	CENTRUM
1011AC	1011AC	GAS	100	5611	CENTRUM
1011AD	1011AE	GAS	100	876	CENTRUM
1011AD	1011AD	ELK	100	4026	CENTRUM
1011AE	1011AE	ELK	100	2845	CENTRUM
1011AG	1011AH	GAS	100	2227	CENTRUM
1011AG	1011AG	ELK	100	18753	CENTRUM
1011AH	1011AH	ELK	100	3815	CENTRUM
1011AJ	1011AJ	GAS	100	1664	CENTRUM
1011AJ	1011AJ	ELK	100	9289	CENTRUM
1011AK	1011AK	ELK	100	9286	CENTRUM
1011AL	1011AM	ELK	100	11436	CENTRUM
1011AM	1011AN	GAS	100	2394	CENTRUM
1011AN	1011AN	ELK	100	2344	CENTRUM
1011AP	1011AP	ELK	100	6250	CENTRUM
1011AP	1011AP	GAS	100	3272	CENTRUM
1011AR	1011AR	ELK	100	7650	CENTRUM
1011AR	1011AR	GAS	100	2142	CENTRUM
1011AS	1011AS	ELK	100	5856	CENTRUM
1011AS	1011AV	GAS	100	4695	CENTRUM
1011AT	1011AT	ELK	100	7211	CENTRUM
1011AV	1011AV	ELK	100	4087	CENTRUM
1011AW	1011AW	GAS	100	1262	CENTRUM
1011AW	1011AW	ELK	100	2667	CENTRUM
1011AX	1011AX	GAS	100	2297	CENTRUM
1011AX	1011AX	ELK	100	3719	CENTRUM
1011AZ	1011AZ	ELK	100	2862	CENTRUM
1011AZ	1011AZ	GAS	100	1342	CENTRUM
1011BA	1011BA	ELK	94,74	2139	CENTRUM
1011BA	1011BA	GAS	100	1025	CENTRUM
1011BB	1011BC	GAS	100	2264	CENTRUM
1011BB	1011BC	ELK	100	4654	CENTRUM
1011BD	1011BD	ELK	93,33	3577	CENTRUM
1011BD	1011BD	GAS	100	2192	CENTRUM
1011BE	1011BG	ELK	100	2245	CENTRUM
1011BE	1011BG	GAS	100	2070	CENTRUM
1011BH	1011BH	ELK	100	3060	CENTRUM
1011BH	1011BH	GAS	100	1707	CENTRUM
1011BJ	1011BJ	ELK	100	5624	CENTRUM
1011BJ	1011BJ	GAS	100	3006	CENTRUM
1011BK	1011BK	ELK	100	2418	CENTRUM
1011BK	1011BK	GAS	100	1515	CENTRUM
1011BL	1011BM	ELK	100	2128	CENTRUM
1011BL	1011BM	GAS	100	1212	CENTRUM
1011BN	1011BN	ELK	100	3066	CENTRUM
1011BN	1011BN	GAS	100	1402	CENTRUM
1011BP	1011BP	ELK	100	3073	CENTRUM
1011BP	1011BP	GAS	100	2430	CENTRUM
1011BR	1011BR	ELK	100	1694	CENTRUM
1011BR	1011BR	GAS	100	1554	CENTRUM
1011BS	1011BS	ELK	100	2684	CENTRUM
1011BS	1011BS	GAS	100	1825	CENTRUM
1011BT	1011BT	ELK	96,77	2376	CENTRUM
1011BT	1011BT	GAS	100	1564	CENTRUM
1011BV	1011BV	ELK	100	2262	CENTRUM
1011BV	1011BV	GAS	100	1594	CENTRUM
1011BW	1011BW	ELK	100	2664	CENTRUM
1011BW	1011BW	GAS	100	1066	CENTRUM
1011BX	1011BX	ELK	100	1430	CENTRUM
1011BX	1011BX	GAS	100	941	CENTRUM
1011BZ	1011BZ	GAS	100	1208	CENTRUM
1011BZ	1011BZ	ELK	96,43	3759	CENTRUM
1011CA	1011CA	ELK	100	1680	CENTRUM
1011CA	1011CA	GAS	100	1202	CENTRUM
1011CB	1011CB	ELK	100	2406	CENTRUM
1011CB	1011CB	GAS	100	1446	CENTRUM
1011CC	1011CC	GAS	100	1599	CENTRUM
1011CC	1011CC	ELK	100	2294	CENTRUM
1011CD	1011CD	GAS	100	1315	CENTRUM
1011CD	1011CD	ELK	100	3514	CENTRUM
1011CE	1011CE	ELK	83,33	2500	CENTRUM
1011CE	1011CH	GAS	100	2168	CENTRUM
1011CG	1011CH	ELK	100	10268	CENTRUM
1011CJ	1011CJ	ELK	100	7333	CENTRUM
1011CJ	1011CJ	GAS	100	1225	CENTRUM
1011CK	1011CK	ELK	100	2230	CENTRUM
1011CK	1011CK	GAS	100	1248	CENTRUM
1011CL	1011CL	ELK	100	1682	CENTRUM
1011CL	1011CM	GAS	100	1119	CENTRUM
1011CM	1011CM	ELK	100	2627	CENTRUM
1011CN	1011CN	ELK	100	5505	CENTRUM
1011CN	1011CN	GAS	100	2417	CENTRUM
1011CP	1011CR	ELK	100	2095	CENTRUM
1011CP	1011CR	GAS	100	2010	CENTRUM
1011CS	1011CS	ELK	100	1735	CENTRUM
1011CS	1011CS	GAS	100	1396	CENTRUM
1011CT	1011CT	ELK	100	2848	CENTRUM
1011CT	1011CT	GAS	100	1276	CENTRUM
1011CV	1011CV	GAS	100	1135	CENTRUM
1011CV	1011CV	ELK	100	1739	CENTRUM
1011CW	1011CW	GAS	100	1079	CENTRUM
1011CW	1011CW	ELK	100	2502	CENTRUM
1011CX	1011CX	ELK	100	2329	CENTRUM
1011CX	1011CX	GAS	100	988	CENTRUM
1011CZ	1011CZ	ELK	81,82	2415	CENTRUM
1011CZ	1011CZ	GAS	100	1199	CENTRUM
1011DB	1011DB	ELK	100	4311	CENTRUM
1011DB	1011DD	GAS	100	864	CENTRUM
1011DC	1011DD	ELK	100	4130	CENTRUM
1011DG	1011DG	ELK	100	3358	CENTRUM
1011DK	1011DL	ELK	100	5727	CENTRUM
1011DL	1011EA	GAS	100	1739	CENTRUM
1011DZ	1011EA	ELK	100	2946	CENTRUM
1011EB	1011EB	ELK	100	1575	CENTRUM
1011EB	1011EB	GAS	100	896	CENTRUM
1011EC	1011EC	GAS	100	2565	CENTRUM
1011EC	1011EC	ELK	100	6244	CENTRUM
1011ED	1011ED	ELK	100	1859	CENTRUM
1011ED	1011ED	GAS	100	1073	CENTRUM
1011EE	1011EE	ELK	100	1841	CENTRUM
1011EE	1011EE	GAS	100	894	CENTRUM
1011EG	1011EG	GAS	100	2917	CENTRUM
1011EG	1011EG	ELK	100	1794	CENTRUM
1011EH	1011EH	ELK	100	3391	CENTRUM
1011EH	1011EH	GAS	100	1325	CENTRUM
1011EJ	1011EJ	GAS	100	1511	CENTRUM
1011EJ	1011EJ	ELK	100	5496	CENTRUM
1011EK	1011EK	GAS	100	2793	CENTRUM
1011EK	1011EK	ELK	100	6430	CENTRUM
1011EL	1011EL	GAS	100	1270	CENTRUM
1011EL	1011EL	ELK	100	4921	CENTRUM
1011EM	1011EM	ELK	100	5697	CENTRUM
1011EM	1011EM	GAS	100	2618	CENTRUM
1011EN	1011EN	ELK	100	6255	CENTRUM
1011EN	1011EN	GAS	100	2751	CENTRUM
1011ER	1011ER	ELK	100	2687	CENTRUM
1011ER	1011ER	GAS	100	1567	CENTRUM
1011ES	1011ET	GAS	100	1498	CENTRUM
1011ES	1011ET	ELK	100	4560	CENTRUM
1011EV	1011EW	ELK	100	3654	CENTRUM
1011EV	1011EW	GAS	100	1271	CENTRUM
1011EX	1011EX	GAS	100	1226	CENTRUM
1011EX	1011EX	ELK	100	4416	CENTRUM
1011EZ	1011EZ	ELK	100	1850	CENTRUM
1011EZ	1011GA	GAS	100	1090	CENTRUM
1011GA	1011GA	ELK	100	2294	CENTRUM
1011GB	1011GD	GAS	100	1186	CENTRUM
1011GB	1011GC	ELK	100	1827	CENTRUM
1011GD	1011GD	ELK	96,15	2405	CENTRUM
1011GG	1011GG	ELK	100	1455	CENTRUM
1011GG	1011GG	GAS	100	1231	CENTRUM
1011GH	1011GH	ELK	100	1489	CENTRUM
1011GH	1011GH	GAS	100	1152	CENTRUM
1011GJ	1011GJ	ELK	100	2327	CENTRUM
1011GJ	1011GJ	GAS	100	1279	CENTRUM
1011GK	1011GL	GAS	100	776	CENTRUM
1011GK	1011GL	ELK	100	1722	CENTRUM
1011GM	1011GM	GAS	100	1359	CENTRUM
1011GM	1011GM	ELK	100	2182	CENTRUM
1011GN	1011GN	ELK	100	1734	CENTRUM
1011GN	1011GN	GAS	100	1518	CENTRUM
1011GP	1011GR	GAS	100	1090	CENTRUM
1011GP	1011GP	ELK	100	4369	CENTRUM
1011GR	1011GR	ELK	100	1575	CENTRUM
1011GS	1011GS	GAS	100	1471	CENTRUM
1011GS	1011GS	ELK	97,62	4082	CENTRUM
1011GT	1011GT	GAS	100	1043	CENTRUM
1011GT	1011GT	ELK	100	1675	CENTRUM
1011GV	1011GV	ELK	100	1885	CENTRUM
1011GV	1011GV	GAS	100	1364	CENTRUM
1011GW	1011GW	GAS	100	3608	CENTRUM
1011GW	1011GW	ELK	100	7503	CENTRUM
1011GX	1011GX	GAS	100	1124	CENTRUM
1011GX	1011GX	ELK	100	1174	CENTRUM
1011GZ	1011GZ	GAS	100	871	CENTRUM
1011GZ	1011GZ	ELK	100	1512	CENTRUM
1011HA	1011HB	GAS	100	1137	CENTRUM
1011HA	1011HB	ELK	100	3273	CENTRUM
1011HC	1011HC	ELK	100	3848	CENTRUM
1011HC	1011HC	GAS	100	859	CENTRUM
1011HD	1011HD	GAS	100	1173	CENTRUM
1011HD	1011HD	ELK	100	4708	CENTRUM
1011HE	1011HE	GAS	100	1374	CENTRUM
1011HE	1011HE	ELK	100	6565	CENTRUM
1011HG	1011HG	GAS	100	980	CENTRUM
1011HG	1011HG	ELK	100	4842	CENTRUM
1011HH	1011HH	GAS	100	1123	CENTRUM
1011HH	1011HH	ELK	100	2140	CENTRUM
1011HJ	1011HJ	ELK	100	2558	CENTRUM
1011HJ	1011HJ	GAS	100	1429	CENTRUM
1011HK	1011HK	GAS	100	1690	CENTRUM
1011HK	1011HK	ELK	100	2523	CENTRUM
1011HL	1011HL	ELK	100	1685	CENTRUM
1011HL	1011HL	GAS	100	1120	CENTRUM
1011HM	1011HP	ELK	100	2421	CENTRUM
1011HM	1011HP	GAS	100	1615	CENTRUM
1011HR	1011HR	ELK	100	4149	CENTRUM
1011HR	1011HR	GAS	100	1546	CENTRUM
1011HS	1011HS	GAS	100	1300	CENTRUM
1011HS	1011HS	ELK	100	2361	CENTRUM
1011HT	1011HT	GAS	100	1696	CENTRUM
1011HT	1011HT	ELK	100	2890	CENTRUM
1011HV	1011HV	ELK	100	2486	CENTRUM
1011HV	1011HV	GAS	100	1386	CENTRUM
1011HW	1011HW	GAS	100	2086	CENTRUM
1011HW	1011HW	ELK	100	3571	CENTRUM
