MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	25	100	68	28	3x25	14981	16	0	1,4	CENTRUM
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011	1011	ELK	KVB	33	100	66,67	30	3x25	11210	15,15	3,03	1,3	CENTRUM
Liander N.V.	GAS Liander	De Ruyterkade	1011	1011	GAS	KVB	22	100	81,82	41	G4	3893	0	4,55	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011	1011	ELK	KVB	21	100	23,81	57	3x25	3859	38,1	0	1,6	CENTRUM
Liander N.V.	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	11	100	45,45	82	G4	1279	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011	1011	ELK	KVB	19	100	36,84	68	3x25	2989	26,32	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	12	100	91,67	50	3x25	17293	58,33	16,67	1,6	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100	100	93	G4	2869	0	7,41	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100	100	67	1x25	3187	14,29	0	1,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	18	100	83,33	39	1x25	9344	11,11	0	1,1	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	15	100	86,67	67	G4	1770	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	13	100	84,62	54	3x25	6333	23,08	0	1,2	CENTRUM
