POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011AC	1011AC	GAS	100	4329	CENTRUM
1011AD	1011AE	GAS	100	1082	CENTRUM
1011AD	1011AD	ELK	100	3858	CENTRUM
1011AE	1011AE	ELK	100	2739	CENTRUM
1011AG	1011AH	GAS	100	2137	CENTRUM
1011AH	1011AH	ELK	100	3412	CENTRUM
1011AJ	1011AJ	GAS	100	1793	CENTRUM
1011AM	1011AN	GAS	100	2088	CENTRUM
1011AN	1011AN	ELK	100	2540	CENTRUM
1011AP	1011AP	GAS	100	3092	CENTRUM
1011AR	1011AR	GAS	100	2259	CENTRUM
1011AS	1011AS	ELK	100	4188	CENTRUM
1011AS	1011AV	GAS	100	4591	CENTRUM
1011AW	1011AW	ELK	100	2678	CENTRUM
1011AW	1011AW	GAS	100	1256	CENTRUM
1011AX	1011AX	ELK	100	3992	CENTRUM
1011AX	1011AX	GAS	100	2208	CENTRUM
1011AZ	1011AZ	ELK	100	3247	CENTRUM
1011AZ	1011AZ	GAS	100	1630	CENTRUM
1011BA	1011BA	GAS	100	1061	CENTRUM
1011BA	1011BA	ELK	94,74	2242	CENTRUM
1011BB	1011BC	ELK	100	4764	CENTRUM
1011BB	1011BC	GAS	100	2335	CENTRUM
1011BD	1011BD	ELK	93,33	3720	CENTRUM
1011BD	1011BD	GAS	100	2103	CENTRUM
1011BE	1011BG	GAS	100	2145	CENTRUM
1011BE	1011BG	ELK	100	2221	CENTRUM
1011BH	1011BH	ELK	100	3514	CENTRUM
1011BH	1011BH	GAS	100	1862	CENTRUM
1011BJ	1011BJ	GAS	100	3194	CENTRUM
1011BK	1011BK	ELK	100	2375	CENTRUM
1011BK	1011BK	GAS	100	1602	CENTRUM
1011BL	1011BM	GAS	100	1315	CENTRUM
1011BL	1011BM	ELK	100	2068	CENTRUM
1011BN	1011BN	ELK	100	3174	CENTRUM
1011BN	1011BN	GAS	100	1583	CENTRUM
1011BP	1011BP	GAS	100	2581	CENTRUM
1011BP	1011BP	ELK	100	2492	CENTRUM
1011BR	1011BR	ELK	100	1691	CENTRUM
1011BR	1011BR	GAS	100	1644	CENTRUM
1011BS	1011BS	ELK	100	3102	CENTRUM
1011BS	1011BS	GAS	100	2480	CENTRUM
1011BT	1011BT	GAS	100	1554	CENTRUM
1011BT	1011BT	ELK	96,77	2414	CENTRUM
1011BV	1011BV	ELK	100	2736	CENTRUM
1011BV	1011BV	GAS	100	1800	CENTRUM
1011BW	1011BW	ELK	100	2659	CENTRUM
1011BW	1011BW	GAS	100	1170	CENTRUM
1011BX	1011BX	ELK	100	1441	CENTRUM
1011BX	1011BX	GAS	100	936	CENTRUM
1011BZ	1011BZ	ELK	100	3731	CENTRUM
1011BZ	1011BZ	GAS	100	1232	CENTRUM
1011CA	1011CA	GAS	100	1125	CENTRUM
1011CA	1011CA	ELK	100	1681	CENTRUM
1011CB	1011CB	ELK	100	2213	CENTRUM
1011CB	1011CB	GAS	100	1421	CENTRUM
1011CC	1011CC	GAS	100	1371	CENTRUM
1011CC	1011CC	ELK	100	2507	CENTRUM
1011CD	1011CD	ELK	100	2613	CENTRUM
1011CD	1011CD	GAS	100	1381	CENTRUM
1011CE	1011CE	ELK	83,33	2101	CENTRUM
1011CE	1011CH	GAS	100	2353	CENTRUM
1011CJ	1011CJ	GAS	100	1276	CENTRUM
1011CK	1011CK	ELK	100	2308	CENTRUM
1011CK	1011CK	GAS	100	1305	CENTRUM
1011CL	1011CL	ELK	100	1774	CENTRUM
1011CL	1011CM	GAS	100	1088	CENTRUM
1011CM	1011CM	ELK	100	2334	CENTRUM
1011CN	1011CN	GAS	100	2657	CENTRUM
1011CP	1011CR	GAS	100	2206	CENTRUM
1011CP	1011CR	ELK	100	2329	CENTRUM
1011CS	1011CS	GAS	100	1458	CENTRUM
1011CS	1011CS	ELK	100	1744	CENTRUM
1011CT	1011CT	GAS	100	1185	CENTRUM
1011CT	1011CT	ELK	100	3038	CENTRUM
1011CV	1011CV	ELK	100	1925	CENTRUM
1011CV	1011CV	GAS	100	1340	CENTRUM
1011CW	1011CW	GAS	100	1149	CENTRUM
1011CW	1011CW	ELK	100	2514	CENTRUM
1011CX	1011CX	ELK	100	2194	CENTRUM
1011CX	1011CX	GAS	100	943	CENTRUM
1011CZ	1011CZ	GAS	100	1249	CENTRUM
1011CZ	1011CZ	ELK	81,82	2052	CENTRUM
1011DB	1011DD	GAS	100	898	CENTRUM
1011DB	1011DB	ELK	100	4278	CENTRUM
1011DC	1011DD	ELK	100	3751	CENTRUM
1011DG	1011DG	ELK	100	2719	CENTRUM
1011DL	1011EA	GAS	100	1964	CENTRUM
1011DZ	1011EA	ELK	100	2995	CENTRUM
1011EB	1011EB	ELK	100	1695	CENTRUM
1011EB	1011EB	GAS	100	903	CENTRUM
1011EC	1011EC	GAS	100	2473	CENTRUM
1011ED	1011ED	GAS	100	1106	CENTRUM
1011ED	1011ED	ELK	100	1938	CENTRUM
1011EE	1011EE	ELK	100	1753	CENTRUM
1011EE	1011EE	GAS	100	937	CENTRUM
1011EG	1011EG	GAS	100	3053	CENTRUM
1011EG	1011EG	ELK	100	1805	CENTRUM
1011EH	1011EH	GAS	100	1498	CENTRUM
1011EH	1011EH	ELK	100	3338	CENTRUM
1011EJ	1011EJ	GAS	100	1570	CENTRUM
1011EK	1011EK	GAS	100	2701	CENTRUM
1011EL	1011EL	GAS	100	1309	CENTRUM
1011EL	1011EL	ELK	100	4771	CENTRUM
1011EM	1011EM	GAS	100	2654	CENTRUM
1011EN	1011EN	GAS	100	2912	CENTRUM
1011ER	1011ER	ELK	100	3139	CENTRUM
1011ER	1011ER	GAS	100	1595	CENTRUM
1011ES	1011ET	ELK	100	4844	CENTRUM
1011ES	1011ET	GAS	100	1618	CENTRUM
1011EV	1011EW	ELK	100	3776	CENTRUM
1011EV	1011EW	GAS	100	1308	CENTRUM
1011EX	1011EX	ELK	100	4459	CENTRUM
1011EX	1011EX	GAS	100	1333	CENTRUM
1011EZ	1011GA	GAS	100	1012	CENTRUM
1011EZ	1011EZ	ELK	100	2094	CENTRUM
1011GA	1011GA	ELK	100	2334	CENTRUM
1011GB	1011GC	ELK	100	1760	CENTRUM
1011GB	1011GD	GAS	100	1176	CENTRUM
1011GD	1011GD	ELK	96,15	2491	CENTRUM
1011GG	1011GG	ELK	100	1428	CENTRUM
1011GG	1011GG	GAS	100	1370	CENTRUM
1011GH	1011GH	GAS	100	1181	CENTRUM
1011GH	1011GH	ELK	100	3844	CENTRUM
1011GJ	1011GJ	GAS	100	1282	CENTRUM
1011GJ	1011GJ	ELK	100	2759	CENTRUM
1011GK	1011GL	ELK	100	1801	CENTRUM
1011GK	1011GL	GAS	100	818	CENTRUM
1011GM	1011GM	ELK	100	2127	CENTRUM
1011GM	1011GM	GAS	100	1495	CENTRUM
1011GN	1011GN	GAS	100	1172	CENTRUM
1011GN	1011GN	ELK	100	1723	CENTRUM
1011GP	1011GP	ELK	100	989	CENTRUM
1011GP	1011GR	GAS	100	1072	CENTRUM
1011GR	1011GR	ELK	100	1715	CENTRUM
1011GS	1011GS	GAS	100	1553	CENTRUM
1011GS	1011GS	ELK	97,62	4188	CENTRUM
1011GT	1011GT	ELK	100	1886	CENTRUM
1011GT	1011GT	GAS	100	761	CENTRUM
1011GV	1011GV	GAS	100	1355	CENTRUM
1011GV	1011GV	ELK	100	2049	CENTRUM
1011GW	1011GW	GAS	100	3069	CENTRUM
1011GX	1011GX	GAS	100	1234	CENTRUM
1011GX	1011GX	ELK	100	1158	CENTRUM
1011GZ	1011GZ	ELK	100	1542	CENTRUM
1011GZ	1011GZ	GAS	100	845	CENTRUM
1011HA	1011HB	GAS	100	1157	CENTRUM
1011HA	1011HB	ELK	100	3288	CENTRUM
1011HC	1011HC	ELK	100	2980	CENTRUM
1011HC	1011HC	GAS	100	830	CENTRUM
1011HD	1011HD	GAS	100	1216	CENTRUM
1011HE	1011HE	GAS	100	1514	CENTRUM
1011HG	1011HG	ELK	100	4829	CENTRUM
1011HG	1011HG	GAS	100	1060	CENTRUM
1011HH	1011HH	ELK	100	2172	CENTRUM
1011HH	1011HH	GAS	100	1201	CENTRUM
1011HJ	1011HJ	GAS	100	1501	CENTRUM
1011HJ	1011HJ	ELK	100	2471	CENTRUM
1011HK	1011HK	GAS	100	1779	CENTRUM
1011HK	1011HK	ELK	100	2396	CENTRUM
1011HL	1011HL	ELK	100	1678	CENTRUM
1011HL	1011HL	GAS	100	1117	CENTRUM
1011HM	1011HP	ELK	100	2733	CENTRUM
1011HM	1011HP	GAS	100	1649	CENTRUM
1011HR	1011HR	GAS	100	1452	CENTRUM
1011HR	1011HR	ELK	100	4057	CENTRUM
1011HS	1011HS	ELK	100	2463	CENTRUM
1011HS	1011HS	GAS	100	1359	CENTRUM
1011HT	1011HT	GAS	100	1789	CENTRUM
1011HT	1011HT	ELK	100	3358	CENTRUM
1011HV	1011HV	ELK	100	2440	CENTRUM
1011HV	1011HV	GAS	100	1417	CENTRUM
1011HW	1011HW	ELK	100	3659	CENTRUM
1011HW	1011HW	GAS	100	1987	CENTRUM
1011HX	1011HX	ELK	100	2076	CENTRUM
1011HX	1011HX	GAS	100	1363	CENTRUM
1011HZ	1011HZ	ELK	100	3713	CENTRUM
1011HZ	1011HZ	GAS	100	1513	CENTRUM
1011JA	1011JA	ELK	100	2024	CENTRUM
1011JA	1011JA	GAS	100	1528	CENTRUM
1011JB	1011JB	GAS	100	1155	CENTRUM
1011JB	1011JB	ELK	100	2206	CENTRUM
1011JC	1011JH	GAS	100	1555	CENTRUM
1011JC	1011JG	ELK	100	1837	CENTRUM
1011JH	1011JH	ELK	100	3858	CENTRUM
1011JJ	1011JJ	GAS	100	2337	CENTRUM
1011JK	1011JK	GAS	100	1020	CENTRUM
1011JL	1011JL	GAS	100	1305	CENTRUM
1011JM	1011JM	GAS	100	1633	CENTRUM
1011JN	1011JN	ELK	100	3623	CENTRUM
1011JN	1011JN	GAS	100	1600	CENTRUM
1011JP	1011JP	GAS	100	2094	CENTRUM
1011JR	1011JR	GAS	100	1916	CENTRUM
1011JS	1011JT	GAS	100	2755	CENTRUM
1011JV	1011JV	GAS	100	2543	CENTRUM
1011JV	1011JV	ELK	100	2473	CENTRUM
1011JW	1011JW	GAS	100	2201	CENTRUM
1011JX	1011JX	GAS	100	3300	CENTRUM
1011JX	1011JX	ELK	100	3726	CENTRUM
1011JZ	1011JZ	GAS	100	1971	CENTRUM
1011KA	1011KA	ELK	100	3387	CENTRUM
1011KA	1011KA	GAS	100	1624	CENTRUM
1011KB	1011KB	GAS	100	3080	CENTRUM
1011KC	1011KC	ELK	100	3638	CENTRUM
