MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	De Ruyterkade Steigers	1011AA	1011AB	ELK	KVB	33	100	51,52	27	3x25	13791	39,39	21,21	1,3
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011AC	1011AC	ELK	KVB	37	100	64,86	32	3x25	11604	32,43	24,32	1
Liander N.V.	GAS Liander	De Ruyterkade	1011AC	1011AC	GAS	KVB	22	100	72,73	41	G4	5611	0	22,73	
Liander N.V.	GAS Liander	Oosterdokskade	1011AD	1011AE	GAS	KVB	11	100	45,45	82	G4	876	0	9,09	
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011AD	1011AD	ELK	KVB	19	100	5,26	58	3x25	4026	47,37	0	1,5
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011AE	1011AE	ELK	KVB	19	100	36,84	63	3x25	2845	31,58	5,26	1
	GAS Liander	Prins Hendrikkade	1011AG	1011AH	GAS	KVB	27	100	100	96	G4	2227	0	18,52	
	Liander N.V. (NW)	Prins Hendrikkade	1011AG	1011AG	ELK	KVB	13	100	92,31	31	1x35	18753	53,85	30,77	1,6
	Liander N.V. (NW)	Prins Hendrikkade	1011AH	1011AH	ELK	KVB	21	100	100	67	1x25	3815	14,29	0	1,1
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AJ	1011AJ	GAS	KVB	15	100	93,33	73	G4	1664	0	40	
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AJ	1011AJ	ELK	KVB	19	100	89,47	42	1x35	9289	31,58	31,58	1
