MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	11	100	45,45	82	G4	876	0	9,09		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011	1011	ELK	KVB	19	100	5,26	58	3x25	4026	47,37	0	1,5	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011	1011	ELK	KVB	19	100	36,84	63	3x25	2845	31,58	5,26	1	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	27	100	100	96	G4	2227	0	18,52		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	21	100	100	67	1x25	3815	14,29	0	1,1	CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	15	100	93,33	73	G4	1664	0	40		CENTRUM
Liander N.V.	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	29	100	93,1	83	G4	2394	0	55,17		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	29	100	86,21	38	1x35	2344	48,28	41,38	1,3	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	19	100	73,68	89	G4	3272	0	47,37		CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	19	100	100	63	G4	2142	0	26,32		CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	20	100	100	65	G4	4695	0	40		CENTRUM
	Liander N.V. (NW)	Prins Hendrikkade	1011	1011	ELK	KVB	18	100	83,33	44	3x25	4087	55,56	44,44	1,1	CENTRUM
	GAS Liander	Prins Hendrikkade	1011	1011	GAS	KVB	13	100	100	92	G4	1262	0	7,69		CENTRUM
